task,sigma_s,sigma_r,wb,wg,wr,error
a,3,0.05,0.3,0.2,0.5,13964912
a,3,0.05,0.3,0.1,0.6,14091492
a,3,0.05,0.3,0.0,0.7,13999724
a,3,0.05,0.4,0.6,0.0,11851774
a,3,0.05,0.4,0.5,0.1,12124843
a,3,0.05,0.4,0.4,0.2,12466525
a,3,0.05,0.4,0.3,0.3,12781661
a,3,0.05,0.4,0.2,0.4,13056035
a,3,0.05,0.4,0.1,0.5,13323353
a,3,0.05,0.4,0.0,0.6,13518103
a,3,0.05,0.5,0.5,0.0,11313447
a,3,0.05,0.5,0.4,0.1,11534566
a,3,0.05,0.5,0.3,0.2,11773598
a,3,0.05,0.5,0.2,0.3,12039026
a,3,0.05,0.5,0.1,0.4,12337033
a,3,0.05,0.5,0.0,0.5,12642298
a,3,0.05,0.6,0.4,0.0,10726646
a,3,0.05,0.6,0.3,0.1,10906347
a,3,0.05,0.6,0.2,0.2,11061349
a,3,0.05,0.6,0.1,0.3,11267516
a,3,0.05,0.6,0.0,0.4,11550263
a,3,0.05,0.7,0.3,0.0,10074101
a,3,0.05,0.7,0.2,0.1,10259805
a,3,0.05,0.7,0.1,0.2,10413731
a,3,0.05,0.7,0.0,0.3,10512272
a,3,0.05,0.8,0.2,0.0,9447301
a,3,0.05,0.8,0.1,0.1,9565778
a,3,0.05,0.8,0.0,0.2,9744921
a,3,0.05,0.9,0.1,0.0,8858612
a,3,0.05,0.9,0.0,0.1,8951577
a,3,0.05,1.0,0.0,0.0,8331793
a,3,0.1,0.0,1.0,0.0,13816519
a,3,0.1,0.0,0.9,0.1,14073046
a,3,0.1,0.0,0.8,0.2,14254770
a,3,0.1,0.0,0.7,0.3,14370348
a,3,0.1,0.0,0.6,0.4,14399460
a,3,0.1,0.0,0.5,0.5,14332759
a,3,0.1,0.0,0.4,0.6,14197087
a,3,0.1,0.0,0.3,0.7,13983857
a,3,0.1,0.0,0.2,0.8,13687806
a,3,0.1,0.0,0.1,0.9,13253035
a,3,0.1,0.0,0.0,1.0,12695731
a,3,0.1,0.1,0.9,0.0,13580628
a,3,0.1,0.1,0.8,0.1,13967665
a,3,0.1,0.1,0.7,0.2,14218843
a,3,0.1,0.1,0.6,0.3,14427010
a,3,0.1,0.1,0.5,0.4,14557191
a,3,0.1,0.1,0.4,0.5,14589425
a,3,0.1,0.1,0.3,0.6,14531575
a,3,0.1,0.1,0.2,0.7,14403094
a,3,0.1,0.1,0.1,0.8,14183330
a,3,0.1,0.1,0.0,0.9,13847548
a,3,0.1,0.2,0.8,0.0,13138149
a,3,0.1,0.2,0.7,0.1,13655166
a,3,0.1,0.2,0.6,0.2,14044365
